record_nickname,age,gender,education,education_region,month_salary,region,race,maritial_status,applicants_number,has_appeal,is_family_apply,has_children,education_type,industry_sector,occupation,visa_type,sg_working_months,tax_times,application_times,application_start_date,application_end_date,additional_detail,result,c_time,m_time,uuid,source
好运的momo,30,0,2,8,8400,1,0,0,1,FALSE,FALSE,FALSE,1,4,Relationship manager,1,32,2,2,2024-03-04,,SPass，中国人， 29岁， 20182月来新， 2020年申请过一次杯具，2022年换工作，目前在本地银行， 月薪Base8k+， 日本本科学历，希望能过 f,0,1736158982322,1736178126650,83878846-3983-4582-bd88-d25cb21ce5be,
Tony,42,0,,,9600,,,1,1,FALSE,TRUE,TRUE,,,,0,,2,1,2023-08-12,2024-04-21,"工资9.6k,EP，男，42岁申请，缴税两次，一次8000+，一次9000+，申请了就没想过会不会通过，也没看过，突然收到邮件说状态有变化，我以为被拒绝了，结果一看通过了，现在sponsor我的儿子，状态一直在processing，不知道我儿子什么时候通过。",1,1735568580000,1735568580000,946b1af8-cf49-4874-8a26-8858a62f126a,1
Anthony,33,,1,0,3000,1,0,0,1,FALSE,FALSE,FALSE,,5,IT相关,1,48,,1,2024-03-14,2024-11-28,"13年来新，19年POLY毕业，有Tution Grant。中途回国3年，23年回来，建筑行业做IT相关，BASE3k+,SP。",1,1735312260000,1735312260000,ba82a2d9-fedc-40f9-9315-d8a9b0c12526,1
小新子，我再给你一次机会,32,,,,,1,,1,2,FALSE,TRUE,FALSE,,10,中资互联网,2,24,,1,2024-04-06,2024-12-20,PEP + 1DP，32岁，来新2年多，中资互联网，4月初申请，12.20号刷到四条线，可以重新申请,2,1734950580000,1734950580000,fe100ccf-b6c4-48fd-9d1e-52214921b711,1
xhs的momo,,,,,,2,,,1,FALSE,FALSE,FALSE,,,,,,,,2023-12-20,2024-12-20,"🇸🇬4條線出現了 可是CPF沒有啊 第二次申請了 先生台灣人 申請時我們還沒結婚 想說如果這次被拒絕的話 我就Sponsor幫他申請了 🫣
	
20/12/2023 - 提交申請（中間有被要求提交家人的履歷）
20/12/2024 - 刷到四條線（剛好等了一年啊）
	
#PR[话题]# #cpf[话题]# #新加坡PR[话题]#",0,1734877818484,1734877818484,0effc06d-ad22-4a60-833b-d1e19311f160,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-08-23,2024-12-16,"🇸🇬 PR 8月23号申请 格子不见了 凉透 申请四个月还没满 格子就消失了 是不是没希望了？
蹲新系统有人通过的吗？
8月23号   -申请
12月15号 -格子还在
12月16号 -格子消失
#新加坡[话题]#",2,1734618647210,1734618647210,5173018e-b9d6-4f25-bc6b-70d550f674d6,2
xhs的momo,48,,3,0,,0,,,1,FALSE,FALSE,FALSE,,13,,,,,,2024-04-19,2024-12-19,"🇸🇬 来新2年多第一次申请就通过了 恭喜这位申请！8个月通过啦~好消息不能停，也不要停！哈哈
	
申请时间：
19.04.2024 - 提交申请
19.12.2024 - 申请通过✅
	
期间没要求补交资料，申请人单身76年的，从事半导体业，最高学历硕士，来新2年这样这样就申请了，第一次申请就通过，他是他的学弟推的，两个月前发帖报喜的那位半导体业9个月通过就是他的学弟，最后这学长和学弟都通过了，真为你们感到开心！
	
估计很多人到了这年纪就不敢申请了，担心被拒，但我想说年龄虽无法改变，但可以改变心态，勇于尝试，机会只留给有尝试的人
	
祝各位好运呀～
	
#新加坡PR[话题]# #帮忙申请PR[话题]# #新加坡PR申请[话题]# #pr申请[话题]#",1,1734618647210,1734618647210,07514310-3f6c-451f-a216-a8b4301dc7fb,2
xhs的momo,,,,,,,,1,2,FALSE,TRUE,FALSE,,7,,,,,,2023-12-22,2024-08-17,"🇸🇬夫妻两个等待8个月，PR一起通过啦 真的是要恭喜这对夫妻宝子了，等待了8个月一起通过了!
	
🔴申请时间线：
22.12.2023 - 提交申请所需要的资料
09.08.2024 - 中途要求了申请人补交6个月的薪水单和bank statements
11.08.2024 - 提交了所需要补交的资料信息
17.08.2024 - 新加坡PR通过了！
	
宝子带着他老公一起申请的，在新加坡从事的是餐饮行业，还是在同一个地方上班，等了8个月一起通过，真的替他们开心！
也希望其他申请新加坡PR的宝子都能迎接好运！
	
📩新加坡PR：Pm1
📩新加坡自雇EP:Pm2
	
#新加坡[话题]##新加坡pr[话题]# #新加坡pr申请[话题]# #新加坡pr申请条件[话题]# #新加坡申请pr[话题]# #新加坡ep[话题]# #新加坡ep申请[话题]#",1,1734566604857,1734566604857,5ccc14df-db9a-4736-a03f-98a1322d454f,2
xhs的momo,,,,,,0,,,4,FALSE,TRUE,TRUE,,3,美容,,,,2,unknown,2024-12-17,"PR SP+WP 家庭申请批复 刘小姐一家4口，SP从事美容行业，工作稳定 。先生WP从事建筑- 来新加坡自2009 年，2个孩子一男一女都不在新加坡也没有持有新加坡家属证。刘小姐做过2份工作都是美容业，也有进修相关课程。先生也是一样有做相关工作的进修。申请过2次。 批复
#PR[话题]# #新加坡pr申请[话题]#  #申请PR[话题]# #新加坡永久居民[话题]#  #新加坡永久居民申请[话题]#",1,1734566604857,1734566604857,6f35458f-5aec-43c7-9e39-80e9560d006a,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2023-10-12,2024-12-05,"PR 🇸🇬 上岸啦🥰 2023.10.12 提交
2024.12.05 通过✅
	
在度蜜月旅行途中，随手滑email就收到喜讯啦！
等了1年1个月多 终于轮到我了[皱眉R][皱眉R][皱眉R]
还在想怎么迟迟没消息[抓狂R]
	
红薯们 来接好运啦[害羞R]
#新加坡pr[话题]# #新加坡pr申请[话题]# #新加坡ep转pr[话题]#",1,1734566604857,1734566604857,4a440934-4bdb-4bea-adef-88343b0be945,2
xhs的momo,40,0,1,5,,5,,1,2,FALSE,TRUE,FALSE,,,,1,240,,,2024-03-31,2024-11-25,"🇸🇬 老公马来西亚人和老婆中国人一起申请 申请时间
31.03.2024 - 提交申请
20.08.2024 - 通知ICA副申请人更换工作
25.11.2024 - 申请通过✅
	
男主申请人是马来西亚人，来新工作20年，最高学历Diploma，带着中国籍太太一起申请，太太最高学历Diploma
	
最近真的很忙，因为申请人很多，都做到很迟，看我回复你们的时间点就可以知道了哈[笑哭R]，所以回复上会慢一些，还请各位谅解呀，但只要申请人都能通过，再累都值了，能为你们圆你们期待已久的PR，成就感满满滴
	
祝各位一样好运~
	
#新加坡PR[话题]# #帮忙申请PR[话题]# #新加坡PR申请[话题]#",1,1734481815291,1734481815291,96e4ca4f-4ae4-4e6c-95a4-44317e45f077,2
xhs的momo,,,2,1,,1,,1,1,FALSE,FALSE,FALSE,,,,,,,,2024-05-29,2024-11-21,"🇸🇬｜PR Approved ，第一次申请就拿下 PR申请背景&时间线，供各位参考，希望大家都顺利一次拿下，接好运🍀
	
🔴背景：
国籍：🇨🇳
学历：本科
婚姻状态：已婚未育
入境新加坡时间：24年3月中旬
其它：申请PR刚工作但没薪水单，男作为sponsor递交申请
类似背景且有公民赞助的先不要担心逗留时间，是否有小孩，薪酬等等（传了3个月，还没等补充到6个月薪酬单就批了），说不定下个被幸运女神眷顾的就是你
	
🔴时间线:
2024年5月29日递交申请
2024年9月20日，补充提交3个月薪水单以及公司材料
2024年11月21日，PR approved
谢谢新加坡政fu，这次效率杠杠的
	
👉小tips:一方是新加坡公民可以给另一方担保申请，6个月之后如果被拒绝，可以尝试写信给yiyuan请求帮忙，加上明年大选，今年申请据说通过概率可能会提高。还在犹豫的可以冲冲冲，大家都运气加持过过过~~
	
📩新加坡PR：Pm1
📩新加坡自雇EP:Pm2
	
#新加坡[话题]##新加坡pr[话题]##新加坡pr申请[话题]##新加坡ep[话题]##新加坡ep申请[话题]##新加坡自雇ep[话题]# #新加坡自雇移民[话题]##新加坡移民[话题]##新加坡绿卡[话题]#",1,1734481815291,1734481815291,3fc0a251-6827-46ad-a1ff-252a2860450d,2
no1,34,,3,1,29166,1,0,1,2,FALSE,TRUE,FALSE,,,,0,,,1,2024-04-01,2024-12-12,夫妻一个EP一个最近降成SP来新快两年。一个美本美硕，另一个陆本陆硕。两人年入350K左右。2024年4月申请，7个月后拒,2,1734277800000,1734277800000,d6418f53-1121-4852-b22c-88f9b8e01ce9,1
xhs的momo,,,,,,0,,,1,FALSE,FALSE,FALSE,,,,2,,,,2023-08-13,2024-05-12,"🇸🇬新加坡PR 独立申请 8个月通过✅ 2021-10 落地新加坡
2023-08-13 提交申请
----------等待8个月后----------
2024-05-03(上周五)ICA要求补交材料
2024-05-04(上周六)按照要求提交材料
2024-05-06(周一)四条线+You have a pending ...
后面就是刷CPF了[派对R]
----------后续----------
2024-05-10(周五)刷到CPF，完成CPF Declaration
2024-05-10(周五)完成Formality预约
2024-05-12(周日)ICA页面显示Approved
----------五天后----------
2024-05-17(周五)在ICA Building现场办理Formality
2024-05-17(周五)PEP被取消
#等待8个月获批，你觉得快吗？ [PK]#
	
#新加坡[话题]# #新加坡pr[话题]#",1,1734186700381,1734186700381,a233ad24-d729-4b5b-b4a7-25478c073c4e,2
xhs的momo,45,0,5,8,0,,,1,3,FALSE,TRUE,TRUE,,,,,,,,2023-07-05,2024-07-18,"夫妻45岁，没教育文凭，12个月终于通过 45岁李先生申请人带着45岁妻子和女儿一起申请，他们没有任何教育学历，只有一张技能评估证书，而太太是一张ITE证书。
	
申请过程挺困难的，资料啥的都应该扫描给我们的，但是申请人年纪有点大了，这个不好操作，就只能拍照给我们了，拍照给我的一些照片都不是很清晰，我们都是尽量用技术调整了清晰度然后再转换成pdf的格式。
	
再来就是填写资料方面，他们都是写在纸上给我，字体不清楚加上很多信息是给不完整的。
	
🔴申请时间线：
2023.7.5 - 提交申请
2024.4.20 - 被要求补交6个月的薪水单
2024.4.25 - 提交6个月薪水单
2024.7.18 - 申请通过
	
虽然申请的过程还是会有折回修改再申请，但还是做到了，祝其他宝子们也一样幸运！
	
#新加坡[话题]##新加坡pr[话题]# #新加坡pr申请[话题]# #新加坡pr申请条件[话题]# #新加坡自雇ep[话题]# #新加坡自雇[话题]# #新加坡移民[话题]# #新加坡移民生活[话题]# #新加坡生活[话题]#",1,1734186700381,1734186700381,30c6683e-9395-4646-9288-3fb9d31db3f9,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-05-12,2024-12-13,"拒信 12.5 刷到四条线，可重新申请
12.13 凌晨1:01 收到邮件
#新加坡pr申请[话题]#",2,1734186700380,1734186700380,15172173-bf08-4c53-a064-23416c2ce2cf,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2023-11-27,2024-06-17,"🇸🇬PR Approved !希望能把好运传给大家 此时点播一首《好运来》，来小红书还愿啦
「申请时间线」耗时7个月！
11月27号提交申请，然后开始了“有事没事刷刷刷”模式，但是不出所料一直是pending两条杠
6月4号刷出四条杠，激动的心颤抖的手，发现显示没法重新申请！！
（坊间传言：四条杠+重新申请基本是稳了）
立刻开始刷CPF, 内心开始觉得好像稳了，泼天的好运终于到我的头上了吗！！！
6月15号刷到CPF啦，也刷到了ICA的更新
6月17号收到ICA结果通知📢Approved!
真的好感谢帮我的大佬，让我少走好多弯路、也多吃了好多定心丸
㊗️刷到此条的朋友们都能顺利拿PR!
	
#新加坡[话题]# #新加坡pr[话题]# #新加坡生活[话题]# #移民新加坡[话题]# #新加坡绿卡[话题]# #新加坡工作[话题]# #催签[话题]# #留学[话题]# #超实用签证攻略[话题]#",1,1734013797692,1734013797692,332699cd-8bb5-4669-a1c5-166194c846ea,2
卢俊义,,,3,3,,3,,,1,TRUE,FALSE,,,4,会计,,36,,,2024-05-17,2024-12-11,港T1本 SMU硕 会计行业 在新3年 7个月四条杠可重申,2,1733951280000,1733951280000,d5570073-1d4c-4741-8f20-941013121603,1
安安全全,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2021-12-25,2022-09-15,一般人,1,1733920860000,1733920860000,d922193c-a2c7-4f8b-a938-250e6b808dd3,1
xhs的momo,0,0,,,0,1,,1,1,FALSE,TRUE,TRUE,,,,,216,,,2024-04-10,2024-12-10,"🎓一年课程 也可以成功申请PR✅ [斜眼R]我23岁的时候就来新加坡打工了 在这边工作18年了
	
一开始进来🇸🇬的时候、薪资才700-800新币[失望R]
做了很多工作 (fnb, retail, 美容，du场）[暗中观察R]
	
其实我从来没有考虑要申请pr的、
本来就抱着来新加坡打工💼 赚新币的心态而已[害羞R]
	
我要申请pr的是因为疫情的时候
🇸🇬突然lockdown 2年
当时我老公和孩子都在马来西亚🇲🇾
[哭惹R]拿着wp的我、当时不能回去
前老板告诉我“如果回国就会cancel我的工作准证”
[叹气R]看着身边的同事拿着PR 准证，可以任意进出新加坡
（真的很羡慕）🥹
	
也因为这个原因、我在新加坡两年[汗颜R]
当我可以回家的时候、孩子也从2岁 变成了 4岁[可怜R]
	
[赞R]我在这边报读了一年课程之后
	
历时8个月 我成功拿到PR了✅
	
㊗️大家顺顺利利 接好运啦 大家[萌萌哒R]
	
#新加坡pr[话题]# #新加坡sp签证[话题]# #新加坡degree[话题]# #新加坡马来西亚[话题]# #新加坡打工的大马人[话题]# #新加坡打工日常[话题]# #新加坡签证[话题]#",1,1733917250110,1733917250110,d3ec7ae9-616f-495d-a59e-798b8dbc27da,2
xhs的momo,,,,0,,0,,,1,FALSE,FALSE,FALSE,,,,1,36,,,2023-08-11,2024-12-11,"PR 申请悲剧了😭 新的系统真的是4个月准准会淘汰一批人呢
背景:来新3年 SP
	
- 11/8提交申请
- 9/12 盒子消失 + 刷不到CPF
- 11/12 被拒绝
	
新系统是不是看不到4条线了[汗颜R]
#pr申请[话题]##新加坡pr[话题]#",2,1733917250110,1733917250110,0f7ab7b0-9a21-4076-a1fd-fef6b3b44c01,2
yy,,,3,1,,1,,1,3,FALSE,TRUE,FALSE,,10,IT程序员,0,26,,1,2024-05-24,2024-12-08,EP + 2DP。美硕+中资IT程序员，来新26个月，等待6个月后被拒,2,1733817480000,1733817480000,ea45488d-bdd3-4ada-8a80-797709af3caf,1
xhs的momo,,,,,,,,,1,FALSE,FALSE,TRUE,,,,,,,,,2024-12-07,"新生宝宝🇸🇬PR批准了还要延长STVP? PR批准了有了IPA 还要延长短期准证（Short Term Visit Pass) 如图一： IPA 不代表合法逗留在新加坡。
	
Step 1: login ICA extension of social visit pass (图二）
Step 2: 选择sponsor直属家人 & 个人  (图三 & 图四）
Step 3: 填写个人资料 。 备注📝： 申请者和sponsor 的关系： CHILD (图六） 。填好后点按Submit
	
Step 4: ⌛️等待ICA 回复email 成功延长多少天 （图七）
	
#PR批准[话题]# #新生宝宝PR[话题]# #延长短期准证[话题]# #STVP[话题]# #新加坡stvp[话题]#",1,1733788846304,1733788846304,9be18a18-2547-439d-8287-03ae29d8e27d,2
xhs的momo,,,,,,,,,1,FALSE,FALSE,FALSE,,,,,,,,2024-01-23,2024-12-08,"🇸🇬Pr通过了，新加坡你是懂仪式感的 2024 1月23申请
2024 12月4刷到四条线（不能重申）
2024 12月7刷到CPF
2024 12月8 APPROVED🍀
	
盼了12个月份
就当作是新加坡提前给我们的圣诞节礼物了
	
🇸🇬🎄🎁🤍
不懂哪里接到的好运 ，传好运！！！！
	
#新加坡pr[话题]# #新加坡pr申请[话题]# #新加坡pr四条线[话题]# #新加坡申请pr[话题]#",1,1733752851914,1733752851914,cb3f846a-2e3a-463e-816f-d1c52c973a76,2
xhs的momo,,,,,,,,1,1,FALSE,FALSE,TRUE,,,,,,,,2024-04-01,2024-12-01,"公民配偶申请PR，合适时机补交材料加速通过 恭喜 @小红薯65855266 🎉
申请人是公民配偶、已生娃，且条件不错，是不用太担心拿不到PR的
	
今年4月份提交申请，到11月申请时间超6个月了还没出结果
	
于是我们找了个时间主动补交了材料：周五补交，下周就4条线+不能重新申请了，再下周就收到Approve letter了[鼓掌R]
	
🎏新加坡PR锦鲤 🎏专注PR申请
#新加坡PR申请[话题]# #新加坡PR[话题]# #新加坡永久居民申请[话题]# #新加坡PR锦鲤[话题]#",1,1733720481534,1733720481534,d723141c-44f9-47e1-a06c-6b951d446003,2
小哪吒,0,0,4,8,19000,1,0,1,3,FALSE,TRUE,TRUE,,10,互联网,0,,,,2024-03-18,2024-12-08,2022/12来坡，中国人全家1EP+2DP申请，带男娃一枚。互联网大厂，19k月薪，美国本硕毕业（Top10大学) 。和朋友分析认为2025年新加坡大选要来了，政府收紧PR，保公民就业（确保选举票仓），贡献一条数据,2,1733695020000,1733695020000,0abc7be1-f7a2-4a20-b61a-74aa50ea516d,1
